gene,proteinSearched,EnsemblID,EntrezSummary,todaysDate,healthy_Mean,acuteLymeDisease_Mean,antibodies_1month_Mean,antibodies_6month_Mean,acuteHealthy_foldChange,antibodies_1month_healthy_foldChange,antibodies_6month_healthy_foldchange,classSample,classValue,class
NUDT18,protein,ENSG00000275074,"The protein encoded by this gene is a member of the Nudix hydrolase family. Nudix hydrolases eliminate potentially toxic nucleotide metabolites from the cell and regulate the concentrations and availability of many different nucleotide substrates, cofactors, and signaling molecules. This protein contains a Nudix hydrolase domain and hydrolyzes oxidized forms of guanosine and deoxyguanosine diphosphates. [provided by RefSeq, Sep 2012]",Thu Aug 27 08:09:30 2020,0.001091003,-0.6152458,-0.29445624,-0.17197967,-563.926772,-269.8949865,-157.6344611,healthyControl_1,0.001091003,healthy
OR52A4,protein,ENSG00000205494,"Olfactory receptors interact with odorant molecules in the nose, to initiate a neuronal response that triggers the perception of a smell. The olfactory receptor proteins are members of a large family of G-protein-coupled receptors (GPCR) arising from single coding-exon genes. Olfactory receptors share a 7-transmembrane domain structure with many neurotransmitter and hormone receptors and are responsible for the recognition and G protein-mediated transduction of odorant signals. The olfactory receptor gene family is the largest in the genome. The nomenclature assigned to the olfactory receptor genes and proteins for this organism is independent of other organisms. Although originally considered to be a functional olfactory receptor, this family member is now considered to be pseudogene due to the presence of a C-terminal frameshift compared to other family members; this is also consistent with the Classifier for Olfactory Receptor Pseudogenes (CORP), as described in PMID:16939646. [provided by RefSeq, Jun 2011]",Thu Aug 27 08:09:44 2020,-0.000272,0.09701872,-0.18199944,-0.14622378,-356.6864706,669.1155882,537.5874265,healthyControl_1,-0.000272,healthy
OTOS,protein,ENSG00000178602,"Otospiralin is synthesized by nonsensory cells (fibrocytes) of the inner ear, and downregulation of otospiralin in guinea pigs leads to deafness (Lavigne-Rebillard et al., 2003 [PubMed 12687421]).[supplied by OMIM, Mar 2008]",Thu Aug 27 08:09:35 2020,0.000207,-0.31149077,0.036051035,-0.22960472,-1504.786329,174.1595894,-1109.201546,healthyControl_1,0.000207,healthy
PDZRN3,protein,ENSG00000121440,"This gene encodes a member of the LNX (Ligand of Numb Protein-X) family of RING-type ubiquitin E3 ligases. This protein may function in vascular morphogenesis and the differentiation of adipocytes, osteoblasts and myoblasts. This protein may be targeted for degradation by the human papilloma virus E6 protein. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2014]",Thu Aug 27 08:09:30 2020,5.15E-05,0.059969978,0.187398674,-0.090559245,1164.412842,3638.64434,-1758.352269,healthyControl_1,5.15E-05,healthy
PEX26,protein,ENSG00000215193,"This gene belongs to the peroxin-26 gene family. It is probably required for protein import into peroxisomes. It anchors PEX1 and PEX6 to peroxisome membranes, possibly to form heteromeric AAA ATPase complexes required for the import of proteins into peroxisomes. Defects in this gene are the cause of peroxisome biogenesis disorder complementation group 8 (PBD-CG8). PBD refers to a group of peroxisomal disorders arising from a failure of protein import into the peroxisomal membrane or matrix. The PBD group is comprised of four disorders: Zellweger syndrome (ZWS), neonatal adrenoleukodystrophy (NALD), infantile Refsum disease (IRD), and classical rhizomelic chondrodysplasia punctata (RCDP). Alternatively spliced transcript variants have been identified for this gene. [provided by RefSeq, Dec 2010]",Thu Aug 27 08:09:26 2020,8.38E-05,0.26469415,-0.036030412,0.231286653,3158.481223,-429.9353732,2759.843952,healthyControl_1,8.38E-05,healthy
POU3F2,protein,ENSG00000184486,"This gene encodes a member of the POU-III class of neural transcription factors. The encoded protein is involved in neuronal differentiation and enhances the activation of corticotropin-releasing hormone regulated genes. Overexpression of this protein is associated with an increase in the proliferation of melanoma cells. [provided by RefSeq, Mar 2012]",Thu Aug 27 08:09:22 2020,-3.10E-05,-0.4285257,0.08065128,0.5122471,13823.40968,-2601.654194,-16524.1,healthyControl_1,-3.10E-05,healthy
POU4F2,protein,ENSG00000151615,"The protein encoded by this gene is a member of the POU-domain transcription factor family and may be involved in maintaining visual system neurons in the retina. The level of the encoded protein is also elevated in a majority of breast cancers, resulting in accelerated tumor growth. [provided by RefSeq, Sep 2011]",Thu Aug 27 08:09:49 2020,-0.000424625,-0.160596253,0.03925598,0.581217885,378.2072476,-92.44858404,-1368.779241,healthyControl_1,-0.000424625,healthy
PRR24,protein,ENSG00000257704,                                            INAFM1 (InaF Motif Containing 1) is a Protein Coding gene.                                                                                                                                                                                ,Thu Aug 27 08:09:42 2020,-0.000505,-0.1807158,-0.3545034,-0.23405433,357.8530693,701.9869307,463.4739208,healthyControl_1,-0.000505,healthy
PSMF1,protein,ENSG00000125818,"The 26S proteasome is a multicatalytic proteinase complex with a highly ordered structure composed of 2 complexes, a 20S core and a 19S regulator. The 20S core is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of 7 alpha subunits and 2 rings are composed of 7 beta subunits. The 19S regulator is composed of a base, which contains 6 ATPase subunits and 2 non-ATPase subunits, and a lid, which contains up to 10 non-ATPase subunits. Proteasomes are distributed throughout eukaryotic cells at a high concentration and cleave peptides in an ATP/ubiquitin-dependent process in a non-lysosomal pathway. An essential function of a modified proteasome, the immunoproteasome, is the processing of class I MHC peptides. This gene encodes a protein that inhibits the activation of the proteasome by the 11S and 19S regulators. Alternative transcript variants have been identified for this gene. [provided by RefSeq, Jul 2008]",Thu Aug 27 08:09:38 2020,-8.07E-05,0.290613727,0.262409446,-0.637855725,-3602.731393,-3253.083593,7907.482092,healthyControl_1,-8.07E-05,healthy
RGPD3,protein,ENSG00000153165,"This gene is located in a cluster of Ran-binding protein related genes on chromosome 2 which arose through duplication in primates. The encoded protein contains an N-terminal TPR (tetratricopeptide repeat) domain, two Ran-binding domains, and a C-terminal GRIP domain (golgin-97, RanBP2alpha, Imh1p and p230/golgin-245) domain. [provided by RefSeq, Sep 2011]",Thu Aug 27 08:09:44 2020,-0.000246,-0.18020105,0.41048884,0.000246,732.5245935,-1668.653821,-1,healthyControl_1,-0.000246,healthy
RNF168,protein,ENSG00000163961,"This gene encodes an E3 ubiquitin ligase protein that contains a RING finger, a motif present in a variety of functionally distinct proteins and known to be involved in protein-DNA and protein-protein interactions. The protein is involved in DNA double-strand break (DSB) repair. Mutations in this gene result in Riddle syndrome. [provided by RefSeq, Sep 2011]",Thu Aug 27 08:09:47 2020,-0.000278,0.094982624,0.047009468,-0.8241472,-341.6641151,-169.0988058,2964.558273,healthyControl_1,-0.000278,healthy
SLC1A1,protein,ENSG00000106688,"This gene encodes a member of the high-affinity glutamate transporters that play an essential role in transporting glutamate across plasma membranes. In brain, these transporters are crucial in terminating the postsynaptic action of the neurotransmitter glutamate, and in maintaining extracellular glutamate concentrations below neurotoxic levels. This transporter also transports aspartate, and mutations in this gene are thought to cause dicarboxylicamino aciduria, also known as glutamate-aspartate transport defect. [provided by RefSeq, Mar 2010]",Thu Aug 27 08:09:33 2020,0.000299095,-0.369387865,-0.057018518,-0.03219354,-1235.018523,-190.6368127,-107.6365035,healthyControl_1,0.000299095,healthy
TMEM194A,protein,ENSG00000166881,                                            NEMP1 (Nuclear Envelope Integral Membrane Protein 1) is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is NEMP2.,Thu Aug 27 08:09:29 2020,-0.000213862,-0.335821465,-0.202971937,-0.025195758,1570.274233,949.080496,117.8133451,healthyControl_1,-0.000213862,healthy
CABP1,protein,ENSG00000157782,"Calcium binding proteins are an important component of calcium mediated cellular signal transduction. This gene encodes a protein that belongs to a subfamily of calcium binding proteins which share similarity to calmodulin. The protein encoded by this gene regulates the gating of voltage-gated calcium ion channels. This protein inhibits calcium-dependent inactivation and supports calcium-dependent facilitation of ion channels containing voltage-dependent L-type calcium channel subunit alpha-1C. This protein also regulates calcium-dependent activity of inositol 1,4,5-triphosphate receptors, P/Q-type voltage-gated calcium channels, and transient receptor potential channel TRPC5. This gene is predominantly expressed in retina and brain. Alternative splicing results in multiple transcript variants encoding disinct isoforms. [provided by RefSeq, Jul 2012]",Thu Aug 27 08:09:21 2020,3.39E-05,0.5550802,-0.17258668,-0.47716832,16374.0472,-5091.052507,-14075.76165,healthyControl_2,0.20398974,healthy
CENPF,protein,ENSG00000117724,"This gene encodes a protein that associates with the centromere-kinetochore complex. The protein is a component of the nuclear matrix during the G2 phase of interphase. In late G2 the protein associates with the kinetochore and maintains this association through early anaphase. It localizes to the spindle midzone and the intracellular bridge in late anaphase and telophase, respectively, and is thought to be subsequently degraded. The localization of this protein suggests that it may play a role in chromosome segregation during mitotis. It is thought to form either a homodimer or heterodimer. Autoantibodies against this protein have been found in patients with cancer or graft versus host disease. [provided by RefSeq, Jul 2008]",Thu Aug 27 08:09:25 2020,2.05E-05,0.065791725,-0.177234888,-0.14141547,3208.726346,-8643.917675,-6896.96986,healthyControl_2,-0.06124115,healthy
CLEC2L,protein,ENSG00000236279,                                            CLEC2L (C-Type Lectin Domain Family 2 Member L) is a Protein Coding gene.                                                                                                                                    Gene Ontology (GO) annotations related to this gene include carbohydrate binding.                                            An important paralog of this gene is KLRG2.,Thu Aug 27 08:09:28 2020,3.39E-05,0.06627536,0.44389892,0.33853626,1955.025369,13094.36342,9986.320354,healthyControl_2,-0.057790995,healthy
CTXN3,protein,ENSG00000205279,                                            CTXN3 (Cortexin 3) is a Protein Coding gene.                                            Diseases associated with CTXN3 include Autotopagnosia and Clear Cell Adenoma.                                                                                                                                    An important paralog of this gene is CTXN2.,Thu Aug 27 08:09:23 2020,-2.07E-06,-0.02729543,-0.067518633,0.266436107,13196.82353,32643.98066,-128816.8122,healthyControl_2,-0.04171753,healthy
CYP7B1,protein,ENSG00000172817,"This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This endoplasmic reticulum membrane protein catalyzes the first reaction in the cholesterol catabolic pathway of extrahepatic tissues, which converts cholesterol to bile acids. This enzyme likely plays a minor role in total bile acid synthesis, but may also be involved in the development of atherosclerosis, neurosteroid metabolism and sex hormone synthesis. Mutations in this gene have been associated with hereditary spastic paraplegia (SPG5 or HSP), an autosomal recessive disorder. [provided by RefSeq, Apr 2016]",Thu Aug 27 08:09:24 2020,7.77E-05,0.4326625,-7.77E-05,0.08291149,5568.371943,-1,1067.071943,healthyControl_2,-0.13945055,healthy
DLG3,protein,ENSG00000082458,"This gene encodes a member of the membrane-associated guanylate kinase protein family. The encoded protein may play a role in clustering of NMDA receptors at excitatory synapses. It may also negatively regulate cell proliferation through interaction with the C-terminal region of the adenomatosis polyposis coli tumor suppressor protein. Mutations in this gene have been associated with X-linked cognitive disability. Alternatively spliced transcript variants have been described. [provided by RefSeq, Oct 2009]",Thu Aug 27 08:09:31 2020,-0.000759415,0.45978309,0.563445008,-0.101035459,-605.4437824,-741.9461138,133.0438024,healthyControl_2,-0.133482646,healthy
ENO1,protein,ENSG00000074800,"This gene encodes alpha-enolase, one of three enolase isoenzymes found in mammals. Each isoenzyme is a homodimer composed of 2 alpha, 2 gamma, or 2 beta subunits, and functions as a glycolytic enzyme. Alpha-enolase in addition, functions as a structural lens protein (tau-crystallin) in the monomeric form. Alternative splicing of this gene results in a shorter isoform that has been shown to bind to the c-myc promoter and function as a tumor suppressor. Several pseudogenes have been identified, including one on the long arm of chromosome 1. Alpha-enolase has also been identified as an autoantigen in Hashimoto encephalopathy. [provided by RefSeq, Jan 2011]",Thu Aug 27 08:09:36 2020,-0.000192163,0.308855373,0.409181603,-0.316361747,-1607.254454,-2129.342764,1646.316918,healthyControl_2,-1.344003333,healthy
ESYT1,protein,ENSG00000139641,"                                            ESYT1 (Extended Synaptotagmin 1) is a Protein Coding gene.                                            Diseases associated with ESYT1 include Stormorken Syndrome and Myopathy, Tubular Aggregate, 1.                                            Among its related pathways are Sphingolipid metabolism and Metabolism.                                            Gene Ontology (GO) annotations related to this gene include lipid binding and phospholipid binding.                                            An important paralog of this gene is ESYT2.",Thu Aug 27 08:09:49 2020,-0.000558,-0.38195896,-0.16911316,-1.089333,684.5142652,303.0701792,1952.209677,healthyControl_2,-0.26260662,healthy
F2,protein,ENSG00000180210,"This gene encodes the prothrombin protein (also known as coagulation factor II). This protein is proteolytically cleaved in multiple steps to form the activated serine protease thrombin. The activated thrombin enzyme plays an important role in thrombosis and hemostasis by converting fibrinogen to fibrin during blood clot formation, by stimulating platelet aggregation, and by activating additional coagulation factors. Thrombin also plays a role in cell proliferation, tissue repair, and angiogenesis as well as maintaining vascular integrity during development and postnatal life. Peptides derived from the C-terminus of this protein have antimicrobial activity against E. coli and P. aeruginosa. Mutations in this gene lead to various forms of thrombosis and dysprothrombinemia. Rapid increases in cytokine levels following coronavirus infections can dysregulate the coagulation cascade and produce thrombosis, compromised blood supply, and organ failure. [provided by RefSeq, May 2020]",Thu Aug 27 08:09:34 2020,0.000134228,-0.201837618,0.065562413,0.317742813,-1503.688628,488.4394502,2367.181395,healthyControl_2,-0.076257705,healthy
FAM162A,protein,ENSG00000114023,"                                            FAM162A (Family With Sequence Similarity 162 Member A) is a Protein Coding gene.                                            Diseases associated with FAM162A include Arthrogryposis, Distal, Type 7.                                                                                                                                    An important paralog of this gene is FAM162B.",Thu Aug 27 08:09:38 2020,7.65E-05,-0.267474535,-0.162024735,-0.73966205,-3494.914383,-2117.070983,-9664.679058,healthyControl_2,-0.62451075,healthy
FRS3,protein,ENSG00000137218,"This gene encodes a substrate for the fibroblast growth factor receptor. The encoded protein is found in the peripheral plasma membrane and links fibroblast growth factor receptor stimulation to activators of Ras. The encoded protein down-regulates extracellular regulated kinase 2 through direct binding. [provided by RefSeq, Jul 2013]",Thu Aug 27 08:09:46 2020,-0.00014,-0.037875414,0.3397107,0.21719837,270.5386714,-2426.505,-1551.416929,healthyControl_2,0.5222826,healthy
GATC,protein,ENSG00000257218,                                            GATC (Glutamyl-TRNA Amidotransferase Subunit C) is a Protein Coding gene.                                            Diseases associated with GATC include Combined Oxidative Phosphorylation Deficiency 42 and Wound Botulism.                                            Among its related pathways are Metabolism and tRNA Aminoacylation.                                            Gene Ontology (GO) annotations related to this gene include glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity.                                            An important paralog of this gene is ENSG00000111780.,Thu Aug 27 08:09:37 2020,-0.000256,0.45491314,0.089746475,-0.4812107,-1777.004453,-350.572168,1879.729297,healthyControl_2,-0.12728786,healthy
HECW1,protein,ENSG00000002746,"                                            HECW1 (HECT, C2 And WW Domain Containing E3 Ubiquitin Protein Ligase 1) is a Protein Coding gene.                                                                                        Among its related pathways are Signaling by GPCR and Signaling by Wnt.                                            Gene Ontology (GO) annotations related to this gene include ligase activity and ubiquitin protein ligase activity.                                            An important paralog of this gene is HECW2.",Thu Aug 27 08:09:39 2020,-0.000307797,0.01068449,-0.32570147,0.34871185,-34.71278148,1058.169735,-1132.928034,healthyControl_2,-0.085825205,healthy
HPGD,protein,ENSG00000164120,"This gene encodes a member of the short-chain nonmetalloenzyme alcohol dehydrogenase protein family. The encoded enzyme is responsible for the metabolism of prostaglandins, which function in a variety of physiologic and cellular processes such as inflammation. Mutations in this gene result in primary autosomal recessive hypertrophic osteoarthropathy and cranioosteoarthropathy. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Mar 2009]",Thu Aug 27 08:09:46 2020,4.54E-05,-0.022752642,-0.153405397,-0.004063427,-501.2644,-3379.68071,-89.52153259,healthyControl_2,-0.096006392,healthy
IGFALS,protein,ENSG00000099769,"The protein encoded by this gene is a serum protein that binds insulin-like growth factors, increasing their half-life and their vascular localization. Production of the encoded protein, which contains twenty leucine-rich repeats, is stimulated by growth hormone. Defects in this gene are a cause of acid-labile subunit deficiency, which maifests itself in a delayed and slow puberty. Three transcript variants encoding two different isoforms have been found for this gene. [provided by RefSeq, Mar 2009]",Thu Aug 27 08:09:32 2020,-0.000343,0.21468067,-0.32876444,-0.26306129,-625.8911662,958.4969096,766.9425364,healthyControl_2,0.11309266,healthy
ISG20,protein,ENSG00000172183,                                            ISG20 (Interferon Stimulated Exonuclease Gene 20) is a Protein Coding gene.                                            Diseases associated with ISG20 include Hepatitis C and Yellow Fever.                                            Among its related pathways are Interferon gamma signaling and Innate Immune System.                                            Gene Ontology (GO) annotations related to this gene include nucleic acid binding and 3'-5'-exoribonuclease activity.                                            An important paralog of this gene is AEN.,Thu Aug 27 08:09:27 2020,-5.25E-06,-0.0163517,0.16034698,-0.8089056,3114.609524,-30542.2819,154077.2571,healthyControl_2,-0.81921244,healthy
